cdp_id,sign_list,number
1546,Koenig AfO Bei 16,134
1546,Ranke BE A 61,166
1546,Schroeder VS 12,148
1546,Schroder VS 15,142
1546,Fossey pp,739-742
1547,UET 2,148
1547,ARM XV,213
1547,Clay BE A 14,206
1547,Koenig AfO Bei 16,134
1547,Ranke BE A 61,166
1547,Schroeder VS 12,148
1547,Schroder VS 15,142
1547,Fossey pp,739-742
1549,Fossey pp,953ff
1552,Schroeder VS 12,198
1552,Fossey pp,952
1553,Fossey pp,950
1554,Clay BE A 14,252a
1554,Fossey pp,949ff
1556,Fossey pp,223
1557,UET 2,147
1557,Clay BE A 14,25
1557,Ranke BE A 61,39
1557,Fossey pp,121-122
1558,Fossey pp,948
1562,Fossey pp,50
1565,UET 2,404
1565,Clay BE A 14,170
1565,Koenig AfO Bei 16,135
1565,Ranke BE A 61,131
1565,Schroeder VS 12,141
1565,Clay BE A 10,146
1565,Schroder VS 15,133
1565,Fossey pp,699-702
1566,UET 2,404
1566,Clay BE A 14,170
1566,Koenig AfO Bei 16,135
1566,Ranke BE A 61,131
1566,Schroeder VS 12,141
1566,Clay BE A 10,146
1566,Schroder VS 15,133
1566,Fossey pp,699-702
1567,UET 2,404
1567,Clay BE A 14,170
1567,Koenig AfO Bei 16,135
1567,Ranke BE A 61,131
1567,Schroeder VS 12,141
1567,Clay BE A 10,146
1567,Schroder VS 15,133
1567,Fossey pp,699-702
1568,UET 2,404
1568,Clay BE A 14,170
1568,Koenig AfO Bei 16,135
1568,Ranke BE A 61,131
1568,Schroeder VS 12,141
1568,Clay BE A 10,146
1568,Schroder VS 15,133
1568,Fossey pp,699-702
1569,UET 2,404
1569,Clay BE A 14,170
1569,Koenig AfO Bei 16,135
1569,Ranke BE A 61,131
1569,Schroeder VS 12,141
1569,Clay BE A 10,146
1569,Schroder VS 15,133
1569,Fossey pp,699-702
1570,UET 2,404
1570,Clay BE A 14,170
1570,Koenig AfO Bei 16,135
1570,Ranke BE A 61,131
1570,Schroeder VS 12,141
1570,Clay BE A 10,146
1570,Schroder VS 15,133
1570,Fossey pp,699-702
1571,UET 2,404
1571,Clay BE A 14,170
1571,Koenig AfO Bei 16,135
1571,Ranke BE A 61,131
1571,Schroeder VS 12,141
1571,Clay BE A 10,146
1571,Schroder VS 15,133
1571,Fossey pp,699-702
1572,UET 2,404
1572,Clay BE A 14,170
1572,Koenig AfO Bei 16,135
1572,Ranke BE A 61,131
1572,Schroeder VS 12,141
1572,Clay BE A 10,146
1572,Schroder VS 15,133
1572,Fossey pp,699-702
1575,UET 2,54
1575,Clay BE A 14,4a
1575,Schroeder VS 12,8
1575,Fossey pp,24-26
1576,UET 2,56
1576,Clay BE A 14,4a
1576,Schroeder VS 12,8
1576,Fossey pp,24-26
1577,Fossey pp,1067ff
1579,Fossey pp,"179, 189, 191ff"
1585,Clay BE A 14,222
1585,Ranke BE A 61,129
1585,Schroeder VS 12,19
1585,Fossey pp,79-83
1588,UET 2,101
1588,ARM XV,191
1588,Clay BE A 14,145
1588,Koenig AfO Bei 16,21
1588,Ranke BE A 61,134
1588,Schroeder VS 12,136
1588,Clay BE A 10,132
1588,Schroder VS 15,126
1588,Fossey pp,662-673
1589,UET 2,97?
1589,ARM XV,191
1589,Clay BE A 14,145
1589,Koenig AfO Bei 16,21
1589,Ranke BE A 61,134
1589,Schroeder VS 12,136
1589,Clay BE A 10,132
1589,Schroder VS 15,126
1589,Fossey pp,662-673
1590,UET 2,101
1590,ARM XV,191
1590,Clay BE A 14,145
1590,Koenig AfO Bei 16,21
1590,Ranke BE A 61,134
1590,Schroeder VS 12,136
1590,Clay BE A 10,132
1590,Schroder VS 15,126
1590,Fossey pp,662-673
1591,UET 2,101
1591,ARM XV,191
1591,Clay BE A 14,145
1591,Koenig AfO Bei 16,21
1591,Ranke BE A 61,134
1591,Schroeder VS 12,136
1591,Clay BE A 10,132
1591,Schroder VS 15,126
1591,Fossey pp,662-673
1592,UET 2,101
1592,ARM XV,191
1592,Clay BE A 14,145
1592,Koenig AfO Bei 16,21
1592,Ranke BE A 61,134
1592,Schroeder VS 12,136
1592,Clay BE A 10,132
1592,Schroder VS 15,126
1592,Fossey pp,662-673
1596,Fossey pp,131-135
1597,UET 2,362
1597,ARM XV,151
1597,Clay BE A 14,119
1597,Ranke BE A 61,111
1597,Schroeder VS 12,110
1597,Clay BE A 10,101
1597,Fossey pp,"528ff, 527"
1598,Clay BE A 14,119
1598,Ranke BE A 61,111
1598,Schroeder VS 12,110
1598,Clay BE A 10,101
1598,Fossey pp,"528ff, 527"
1599,Fossey pp,525
1601,UET 2,407
1602,Clay BE A 14,101
1602,Koenig AfO Bei 16,173
1602,Ranke BE A 61,89
1602,Schroeder VS 12,84
1602,Fossey pp,407-409
1609,UET 2,50
1609,Fossey pp,158_1
1610,UET 2,291
1610,ARM XV,301
1610,Clay BE A 14,263
1610,Ranke BE A 61,181
1610,Schroeder VS 12,210
1610,Schroder VS 15,193
1610,Fossey pp,1002-1006
1611,ARM XV,150
1611,Fossey pp,"1, 1060, 1070"
1613,ARM XV,150
1613,Fossey pp,70
1619,UET 2,36
1619,ARM XV,86
1619,Clay BE A 14,28
1619,Schroeder VS 12,59
1619,Clay BE A 10,32
1619,Schroder VS 15,53
1619,Fossey pp,"272-275, 276"
1620,UET 2,36
1620,ARM XV,86
1620,Clay BE A 14,49
1620,Schroeder VS 12,59
1620,Clay BE A 10,32
1620,Schroder VS 15,53
1620,Fossey pp,"272-275, 276"
1621,UET 2,36
1621,ARM XV,86
1621,Clay BE A 14,28
1621,Schroeder VS 12,59
1621,Clay BE A 10,32
1621,Schroder VS 15,53
1621,Fossey pp,"272-275, 276"
1622,UET 2,36
1622,ARM XV,86
1622,Clay BE A 14,28
1622,Schroeder VS 12,59
1622,Clay BE A 10,32
1622,Schroder VS 15,53
1622,Fossey pp,"272-275, 276"
1623,UET 2,36
1623,ARM XV,86
1623,Clay BE A 14,28
1623,Schroeder VS 12,59
1623,Clay BE A 10,32
1623,Schroder VS 15,53
1623,Fossey pp,"272-275, 276"
1624,UET 2,36
1624,ARM XV,86
1624,Clay BE A 14,28
1624,Schroeder VS 12,59
1624,Clay BE A 10,32
1624,Schroder VS 15,53
1624,Fossey pp,"272-275, 276"
1625,UET 2,36
1625,ARM XV,86
1625,Clay BE A 14,28
1625,Schroeder VS 12,59
1625,Clay BE A 10,32
1625,Schroder VS 15,53
1625,Fossey pp,"272-275, 276"
1626,UET 2,36
1626,ARM XV,86
1626,Clay BE A 14,28
1626,Schroeder VS 12,59
1626,Clay BE A 10,32
1626,Schroder VS 15,53
1626,Fossey pp,"272-275, 276"
1627,UET 2,36
1627,ARM XV,86
1627,Clay BE A 14,28
1627,Schroeder VS 12,59
1627,Clay BE A 10,32
1627,Schroder VS 15,53
1627,Fossey pp,"272-275, 276"
1628,UET 2,36
1628,ARM XV,86
1628,Clay BE A 14,28
1628,Schroeder VS 12,59
1628,Clay BE A 10,32
1628,Schroder VS 15,53
1628,Fossey pp,"272-275, 276"
1629,UET 2,36
1629,ARM XV,86
1629,Clay BE A 14,28
1629,Schroeder VS 12,59
1629,Clay BE A 10,32
1629,Schroder VS 15,53
1629,Fossey pp,"272-275, 276"
1630,UET 2,36
1630,ARM XV,86
1630,Clay BE A 14,28
1630,Schroeder VS 12,59
1630,Clay BE A 10,32
1630,Schroder VS 15,53
1630,Fossey pp,"272-275, 276"
1631,UET 2,35
1631,ARM XV,86
1631,Clay BE A 14,28
1631,Schroeder VS 12,59
1631,Clay BE A 10,32
1631,Schroder VS 15,53
1631,Fossey pp,"272-275, 276"
1632,UET 2,35
1632,ARM XV,86
1632,Clay BE A 14,28
1632,Schroeder VS 12,59
1632,Clay BE A 10,32
1632,Schroder VS 15,53
1632,Fossey pp,"272-275, 276"
1633,UET 2,35
1633,ARM XV,86
1633,Clay BE A 14,28
1633,Schroeder VS 12,59
1633,Clay BE A 10,32
1633,Schroder VS 15,53
1633,Fossey pp,"272-275, 276"
1634,UET 2,35
1634,ARM XV,86
1634,Clay BE A 14,28
1634,Schroeder VS 12,59
1634,Clay BE A 10,32
1634,Schroder VS 15,53
1634,Fossey pp,"272-275, 276"
1635,UET 2,35
1635,ARM XV,86
1635,Clay BE A 14,28
1635,Schroeder VS 12,59
1635,Clay BE A 10,32
1635,Schroder VS 15,53
1635,Fossey pp,"272-275, 276"
1636,UET 2,35
1636,ARM XV,86
1636,Clay BE A 14,28
1636,Schroeder VS 12,59
1636,Clay BE A 10,32
1636,Schroder VS 15,53
1636,Fossey pp,"272-275, 276"
1637,UET 2,343
1637,ARM XV,86
1637,Clay BE A 14,28
1637,Schroeder VS 12,59
1637,Clay BE A 10,32
1637,Schroder VS 15,53
1637,Fossey pp,"272-275, 276"
1638,UET 2,343
1638,ARM XV,86
1638,Clay BE A 14,28
1638,Schroeder VS 12,59
1638,Clay BE A 10,32
1638,Schroder VS 15,53
1638,Fossey pp,"272-275, 276"
1639,UET 2,347
1639,ARM XV,86
1639,Clay BE A 14,28
1639,Schroeder VS 12,59
1639,Clay BE A 10,32
1639,Schroder VS 15,53
1639,Fossey pp,"272-275, 276"
1640,UET 2,347
1640,ARM XV,86
1640,Clay BE A 14,28
1640,Schroeder VS 12,59
1640,Clay BE A 10,32
1640,Schroder VS 15,53
1640,Fossey pp,"272-275, 276"
1641,UET 2,35
1641,ARM XV,86
1641,Clay BE A 14,28
1641,Schroeder VS 12,59
1641,Clay BE A 10,32
1641,Schroder VS 15,53
1641,Fossey pp,"272-275, 276"
1642,UET 2,35
1642,ARM XV,86
1642,Clay BE A 14,28
1642,Schroeder VS 12,59
1642,Clay BE A 10,32
1642,Schroder VS 15,53
1642,Fossey pp,"272-275, 276"
1643,UET 2,343
1643,ARM XV,86
1643,Clay BE A 14,28
1643,Schroeder VS 12,59
1643,Clay BE A 10,32
1643,Schroder VS 15,53
1643,Fossey pp,"272-275, 276"
1644,UET 2,343
1644,ARM XV,86
1644,Clay BE A 14,28
1644,Schroeder VS 12,59
1644,Clay BE A 10,32
1644,Schroder VS 15,53
1644,Fossey pp,"272-275, 276"
1645,UET 2,347
1645,ARM XV,86
1645,Clay BE A 14,28
1645,Schroeder VS 12,59
1645,Clay BE A 10,32
1645,Schroder VS 15,53
1645,Fossey pp,"272-275, 276"
1646,UET 2,347
1646,ARM XV,86
1646,Clay BE A 14,28
1646,Schroeder VS 12,59
1646,Clay BE A 10,32
1646,Schroder VS 15,53
1646,Fossey pp,"272-275, 276"
1647,UET 2,35
1647,ARM XV,86
1647,Clay BE A 14,28
1647,Schroeder VS 12,59
1647,Clay BE A 10,32
1647,Schroder VS 15,53
1647,Fossey pp,"272-275, 276"
1648,UET 2,35
1648,ARM XV,86
1648,Clay BE A 14,28
1648,Schroeder VS 12,59
1648,Clay BE A 10,32
1648,Schroder VS 15,53
1648,Fossey pp,"272-275, 276"
1649,UET 2,343
1649,ARM XV,86
1649,Clay BE A 14,28
1649,Schroeder VS 12,59
1649,Clay BE A 10,32
1649,Schroder VS 15,53
1649,Fossey pp,"272-275, 276"
1650,UET 2,343
1650,ARM XV,86
1650,Clay BE A 14,28
1650,Schroeder VS 12,59
1650,Clay BE A 10,32
1650,Schroder VS 15,53
1650,Fossey pp,"272-275, 276"
1651,UET 2,347
1651,ARM XV,86
1651,Clay BE A 14,28
1651,Schroeder VS 12,59
1651,Clay BE A 10,32
1651,Schroder VS 15,53
1651,Fossey pp,"272-275, 276"
1652,UET 2,347
1652,ARM XV,86
1652,Clay BE A 14,28
1652,Schroeder VS 12,59
1652,Clay BE A 10,32
1652,Schroder VS 15,53
1652,Fossey pp,"272-275, 276"
1653,UET 2,35
1653,ARM XV,86
1653,Clay BE A 14,28
1653,Schroeder VS 12,59
1653,Clay BE A 10,32
1653,Schroder VS 15,53
1653,Fossey pp,"272-275, 276"
1654,UET 2,35
1654,ARM XV,86
1654,Clay BE A 14,28
1654,Schroeder VS 12,59
1654,Clay BE A 10,32
1654,Schroder VS 15,53
1654,Fossey pp,"272-275, 276"
1655,UET 2,343
1655,ARM XV,86
1655,Clay BE A 14,28
1655,Schroeder VS 12,59
1655,Clay BE A 10,32
1655,Schroder VS 15,53
1655,Fossey pp,"272-275, 276"
1656,UET 2,343
1656,ARM XV,86
1656,Clay BE A 14,28
1656,Schroeder VS 12,59
1656,Clay BE A 10,32
1656,Schroder VS 15,53
1656,Fossey pp,"272-275, 276"
1657,UET 2,347
1657,ARM XV,86
1657,Clay BE A 14,28
1657,Schroeder VS 12,59
1657,Clay BE A 10,32
1657,Schroder VS 15,53
1657,Fossey pp,"272-275, 276"
1658,UET 2,347
1658,ARM XV,86
1658,Clay BE A 14,28
1658,Schroeder VS 12,59
1658,Clay BE A 10,32
1658,Schroder VS 15,53
1658,Fossey pp,"272-275, 276"
1659,UET 2,343
1659,ARM XV,86
1659,Clay BE A 14,28
1659,Schroeder VS 12,59
1659,Clay BE A 10,32
1659,Schroder VS 15,53
1659,Fossey pp,"272-275, 276"
1660,UET 2,343
1660,ARM XV,86
1660,Clay BE A 14,28
1660,Schroeder VS 12,59
1660,Clay BE A 10,32
1660,Schroder VS 15,53
1660,Fossey pp,"272-275, 276"
1661,UET 2,347
1661,ARM XV,86
1661,Clay BE A 14,28
1661,Schroeder VS 12,59
1661,Clay BE A 10,32
1661,Schroder VS 15,53
1661,Fossey pp,"272-275, 276"
1662,UET 2,347
1662,ARM XV,86
1662,Clay BE A 14,28
1662,Schroeder VS 12,59
1662,Clay BE A 10,32
1662,Schroder VS 15,53
1662,Fossey pp,"272-275, 276"
1663,UET 2,343
1663,ARM XV,86
1663,Clay BE A 14,28
1663,Schroeder VS 12,59
1663,Clay BE A 10,32
1663,Schroder VS 15,53
1663,Fossey pp,"272-275, 276"
1664,UET 2,343
1664,ARM XV,86
1664,Clay BE A 14,28
1664,Schroeder VS 12,59
1664,Clay BE A 10,32
1664,Schroder VS 15,53
1664,Fossey pp,"272-275, 276"
1665,UET 2,347
1665,ARM XV,86
1665,Clay BE A 14,28
1665,Schroeder VS 12,59
1665,Clay BE A 10,32
1665,Schroder VS 15,53
1665,Fossey pp,"272-275, 276"
1666,UET 2,347
1666,ARM XV,86
1666,Clay BE A 14,28
1666,Schroeder VS 12,59
1666,Clay BE A 10,32
1666,Schroder VS 15,53
1666,Fossey pp,"272-275, 276"
1667,Fossey pp,240ff
1668,Fossey pp,240ff
1669,Fossey pp,240ff
1670,Fossey pp,240ff
1671,Fossey pp,240ff
1672,Fossey pp,240ff
1673,Fossey pp,240ff
1674,Fossey pp,240ff
1675,Fossey pp,240ff
1676,Fossey pp,240ff
1677,Fossey pp,240ff
1678,Fossey pp,240ff
1679,Fossey pp,240ff
1680,Fossey pp,240ff
1681,Fossey pp,240ff
1682,Fossey pp,240ff
1683,Fossey pp,240ff
1684,Fossey pp,240ff
1685,Fossey pp,240ff
1686,Fossey pp,240ff
1687,Fossey pp,240ff
1688,Fossey pp,240ff
1689,Fossey pp,240ff
1690,Fossey pp,240ff
1693,UET 2,374
1693,Fossey pp,"983, 1091"
1694,UET 2,374
1694,Fossey pp,"983, 1091"
1695,UET 2,374
1695,Fossey pp,"983, 1091"
1696,UET 2,374
1696,Fossey pp,"983, 1091"
1697,UET 2,374
1697,Fossey pp,"983, 1091"
1698,UET 2,374
1698,Fossey pp,"983, 1091"
1699,UET 2,374
1699,Fossey pp,"983, 1091"
1700,UET 2,374
1700,Fossey pp,"983, 1091"
1701,UET 2,374
1701,Fossey pp,"983, 1091"
1704,Clay BE A 14,156
1704,Koenig AfO Bei 16,193
1704,Fossey pp,676-678
1705,Clay BE A 14,156
1705,Koenig AfO Bei 16,193
1705,Fossey pp,676-678
1706,Clay BE A 14,156
1706,Koenig AfO Bei 16,193
1706,Fossey pp,676-678
1707,Clay BE A 14,156
1707,Koenig AfO Bei 16,193
1707,Fossey pp,676-678
1708,Clay BE A 14,156
1708,Koenig AfO Bei 16,193
1708,Fossey pp,676-678
1709,Clay BE A 14,156
1709,Koenig AfO Bei 16,193
1709,Fossey pp,676-678
1710,Clay BE A 14,156
1710,Koenig AfO Bei 16,193
1710,Fossey pp,676-678
1711,Clay BE A 14,156
1711,Koenig AfO Bei 16,193
1711,Fossey pp,676-678
1713,Fossey pp,36-43
1714,UET 2,190
1714,ARM XV,266
1714,Clay BE A 14,189
1714,Koenig AfO Bei 16,23
1714,Ranke BE A 61,161
1714,Schroeder VS 12,180
1714,Schroder VS 15,165
1714,Fossey pp,892-896
1715,UET 2,190
1715,ARM XV,266
1715,Koenig AfO Bei 16,23
1715,Ranke BE A 61,161
1715,Schroeder VS 12,180
1715,Schroder VS 15,165
1715,Fossey pp,892-896
1718,UET 2,264
1718,ARM XV,292
1718,Clay BE A 14,246
1718,Ranke BE A 61,219
1718,Schroeder VS 12,203
1718,Schroder VS 15,185
1718,Fossey pp,970ff
1719,UET 2,272
1719,ARM XV,292
1719,Clay BE A 14,246
1719,Ranke BE A 61,219
1719,Schroeder VS 12,203
1719,Schroder VS 15,185
1719,Fossey pp,970ff
1722,Fossey pp,1ff
1724,Fossey pp,46
1726,Fossey pp,281
1729,Fossey pp,282
1731,UET 2,409
1732,Fossey pp,"513ff, 1076"
1733,Fossey pp,284
1735,ARM XV,68
1735,Clay BE A 14,24
1735,Koenig AfO Bei 16,182
1735,Ranke BE A 61,18
1735,Schroeder VS 12,47
1735,Clay BE A 10,24
1735,Schroder VS 15,45
1735,Fossey pp,216-221
1736,ARM XV,68
1736,Clay BE A 14,24
1736,Koenig AfO Bei 16,182
1736,Ranke BE A 61,18
1736,Schroeder VS 12,47
1736,Clay BE A 10,24
1736,Schroder VS 15,45
1736,Fossey pp,216-221
1737,ARM XV,68
1737,Clay BE A 14,24
1737,Koenig AfO Bei 16,182
1737,Ranke BE A 61,18
1737,Schroeder VS 12,47
1737,Clay BE A 10,24
1737,Schroder VS 15,45
1737,Fossey pp,216-221
1741,UET 2,381
1741,ARM XV,257
1741,Clay BE A 14,30
1741,Ranke BE A 61,58
1741,Clay BE A 10,127
1741,Fossey pp,"857-861, 1077"
1742,Fossey pp,361
1743,Fossey pp,361
1749,UET 2,144
1749,ARM XV,270
1749,Clay BE A 14,203
1749,Koenig AfO Bei 16,183
1749,Ranke BE A 61,197
1749,Schroeder VS 12,183
1749,Schroder VS 15,168
1749,Fossey pp,911-915
1750,UET 2,145
1750,ARM XV,270
1750,Clay BE A 14,203
1750,Koenig AfO Bei 16,183
1750,Ranke BE A 61,197
1750,Schroeder VS 12,183
1750,Schroder VS 15,168
1750,Fossey pp,911-915
1751,Fossey pp,784
1752,UET 2,183
1756,UET 2,32
1756,ARM XV,89
1756,Clay BE A 14,117
1756,Ranke BE A 61,110
1756,Schroeder VS 12,62
1756,Clay BE A 10,103
1756,Schroder VS 15,55
1756,Fossey pp,285-288
1757,ARM XV,276
1757,Clay BE A 14,235
1757,Ranke BE A 61,205
1757,Schroder VS 15,178
1759,Schroeder VS 12,145
1760,UET 2,374
1760,ARM XV,135
1760,Clay BE A 14,76
1760,Koenig AfO Bei 16,27
1760,Ranke BE A 61,62
1760,Schroeder VS 12,94
1760,Clay BE A 10,64
1760,Schroder VS 15,86
1760,Fossey pp,463-467
1761,UET 2,374
1761,ARM XV,135
1761,Clay BE A 14,76
1761,Koenig AfO Bei 16,27
1761,Ranke BE A 61,62
1761,Schroeder VS 12,94
1761,Clay BE A 10,64
1761,Schroder VS 15,86
1761,Fossey pp,463-467
1765,Clay BE A 14,136
1766,UET 2,154
1766,Clay BE A 14,136
1766,Ranke BE A 61,140
1766,Fossey pp,896-900
1767,UET 2,154
1767,Clay BE A 14,136
1767,Fossey pp,896-900
1768,UET 2,154
1768,Clay BE A 14,136
1768,Fossey pp,896-900
1769,UET 2,154
1769,Clay BE A 14,136
1769,Fossey pp,896-900
1770,UET 2,77
1770,ARM XV,101
1770,Clay BE A 14,64
1770,Ranke BE A 61,52
1770,Schroeder VS 12,73
1770,Clay BE A 10,57
1770,Fossey pp,320-324
1771,UET 2,77
1771,ARM XV,101
1771,Clay BE A 14,64
1771,Ranke BE A 61,52
1771,Schroeder VS 12,73
1771,Clay BE A 10,57
1771,Fossey pp,320-324
1772,UET 2,77
1772,ARM XV,101
1772,Clay BE A 14,64
1772,Ranke BE A 61,52
1772,Schroeder VS 12,73
1772,Clay BE A 10,57
1772,Fossey pp,320-324
1773,UET 2,77
1773,ARM XV,101
1773,Clay BE A 14,64
1773,Ranke BE A 61,52
1773,Schroeder VS 12,73
1773,Clay BE A 10,57
1773,Fossey pp,320-324
1774,UET 2,77
1774,ARM XV,101
1774,Clay BE A 14,64
1774,Ranke BE A 61,52
1774,Schroeder VS 12,73
1774,Clay BE A 10,57
1774,Fossey pp,320-324
1775,UET 2,77
1775,ARM XV,101
1775,Clay BE A 14,64
1775,Ranke BE A 61,52
1775,Schroeder VS 12,73
1775,Clay BE A 10,57
1775,Fossey pp,320-324
1776,UET 2,297
1776,ARM XV,101
1776,Clay BE A 14,64
1776,Ranke BE A 61,52
1776,Schroeder VS 12,73
1776,Clay BE A 10,57
1776,Fossey pp,320-324
1778,UET 2,29
1778,Fossey pp,"704-706, 1076"
1779,UET 2,316
1792,UET 2,348
1792,ARM XV,164
1792,Clay BE A 14,118
1792,Koenig AfO Bei 16,29
1792,Ranke BE A 61,77
1792,Schroeder VS 12,121
1792,Clay BE A 10,83
1792,Fossey pp,557-559
1793,UET 2,348
1793,ARM XV,164
1793,Clay BE A 14,118
1793,Koenig AfO Bei 16,29
1793,Ranke BE A 61,77
1793,Schroeder VS 12,121
1793,Clay BE A 10,83
1793,Fossey pp,557-559
1794,UET 2,348
1794,ARM XV,164
1794,Clay BE A 14,118
1794,Koenig AfO Bei 16,29
1794,Ranke BE A 61,77
1794,Schroeder VS 12,121
1794,Clay BE A 10,83
1794,Fossey pp,557-559
1795,UET 2,348
1795,ARM XV,164
1795,Clay BE A 14,118
1795,Koenig AfO Bei 16,29
1795,Ranke BE A 61,77
1795,Schroeder VS 12,121
1795,Clay BE A 10,83
1795,Fossey pp,557-559
1796,UET 2,348
1796,ARM XV,164
1796,Clay BE A 14,118
1796,Koenig AfO Bei 16,29
1796,Ranke BE A 61,77
1796,Schroeder VS 12,121
1796,Clay BE A 10,83
1796,Fossey pp,557-559
1797,UET 2,348
1797,ARM XV,164
1797,Clay BE A 14,118
1797,Koenig AfO Bei 16,29
1797,Ranke BE A 61,77
1797,Schroeder VS 12,121
1797,Clay BE A 10,83
1797,Fossey pp,557-559
1798,UET 2,348
1798,ARM XV,164
1798,Clay BE A 14,118
1798,Koenig AfO Bei 16,29
1798,Ranke BE A 61,77
1798,Schroeder VS 12,121
1798,Clay BE A 10,83
1798,Fossey pp,557-559
1799,UET 2,348
1799,ARM XV,164
1799,Clay BE A 14,118
1799,Koenig AfO Bei 16,29
1799,Ranke BE A 61,77
1799,Schroeder VS 12,121
1799,Clay BE A 10,83
1799,Fossey pp,557-559
1800,UET 2,348
1800,ARM XV,164
1800,Clay BE A 14,118
1800,Koenig AfO Bei 16,29
1800,Ranke BE A 61,77
1800,Schroeder VS 12,121
1800,Clay BE A 10,83
1800,Fossey pp,557-559
1801,UET 2,349
1801,ARM XV,164
1801,Clay BE A 14,118
1801,Koenig AfO Bei 16,29
1801,Ranke BE A 61,77
1801,Schroeder VS 12,121
1801,Clay BE A 10,83
1801,Fossey pp,557-559
1802,UET 2,352
1802,ARM XV,164
1802,Clay BE A 14,118
1802,Koenig AfO Bei 16,29
1802,Ranke BE A 61,77
1802,Schroeder VS 12,121
1802,Clay BE A 10,83
1802,Fossey pp,557-559
1806,Clay BE A 14,175
1806,Fossey pp,870ff
1808,UET 2,219
1808,Koenig AfO Bei 16,191
1808,Schroeder VS 12,181
1808,Schroder VS 15,166
1808,Fossey pp,896-900
1809,UET 2,219
1809,Koenig AfO Bei 16,191
1809,Schroeder VS 12,181
1809,Schroder VS 15,166
1809,Fossey pp,896-900
1810,UET 2,219
1810,Koenig AfO Bei 16,191
1810,Schroeder VS 12,181
1810,Schroder VS 15,166
1810,Fossey pp,896-900
1812,UET 2,229
1812,ARM XV,179
1812,Ranke BE A 61,101
1812,Schroder VS 15,120
1812,Fossey pp,630ff
1814,UET 2,156
1814,Fossey pp,698ff
1817,Fossey pp,699
1819,Fossey pp,501
1821,UET 2,280
1822,UET 2,340
1827,ARM XV,80
1827,Clay BE A 14,122
1827,Ranke BE A 61,68
1827,Clay BE A 10,90
1827,Fossey pp,260-262
1828,ARM XV,80
1828,Clay BE A 14,122
1828,Ranke BE A 61,68
1828,Clay BE A 10,90
1828,Fossey pp,260-262
1829,ARM XV,80
1829,Clay BE A 14,122
1829,Ranke BE A 61,68
1829,Clay BE A 10,90
1829,Fossey pp,260-262
1832,UET 2,384c
1842,UET 2,89
1842,ARM XV,163
1842,Clay BE A 14,106
1842,Koenig AfO Bei 16,31
1842,Ranke BE A 61,108
1842,Schroeder VS 12,120
1842,Clay BE A 10,95
1842,Schroder VS 15,108
1842,Fossey pp,552-557
1843,UET 2,89
1843,ARM XV,163
1843,Clay BE A 14,106
1843,Koenig AfO Bei 16,31
1843,Ranke BE A 61,108
1843,Schroeder VS 12,120
1843,Clay BE A 10,95
1843,Schroder VS 15,108
1843,Fossey pp,552-557
1844,UET 2,89
1844,ARM XV,163
1844,Clay BE A 14,106
1844,Koenig AfO Bei 16,31
1844,Ranke BE A 61,108
1844,Schroeder VS 12,120
1844,Clay BE A 10,95
1844,Schroder VS 15,108
1844,Fossey pp,552-557
1845,UET 2,89
1845,ARM XV,163
1845,Clay BE A 14,106
1845,Koenig AfO Bei 16,31
1845,Ranke BE A 61,108
1845,Schroeder VS 12,120
1845,Clay BE A 10,95
1845,Schroder VS 15,108
1845,Fossey pp,552-557
1846,UET 2,89
1846,ARM XV,163
1846,Clay BE A 14,106
1846,Koenig AfO Bei 16,31
1846,Ranke BE A 61,108
1846,Schroeder VS 12,120
1846,Clay BE A 10,95
1846,Schroder VS 15,108
1846,Fossey pp,552-557
1847,UET 2,89
1847,ARM XV,163
1847,Clay BE A 14,106
1847,Koenig AfO Bei 16,31
1847,Ranke BE A 61,108
1847,Schroeder VS 12,120
1847,Clay BE A 10,95
1847,Schroder VS 15,108
1847,Fossey pp,552-557
1848,UET 2,89
1848,ARM XV,163
1848,Clay BE A 14,106
1848,Koenig AfO Bei 16,31
1848,Ranke BE A 61,108
1848,Schroeder VS 12,120
1848,Clay BE A 10,95
1848,Schroder VS 15,108
1848,Fossey pp,552-557
1849,UET 2,89
1849,ARM XV,163
1849,Clay BE A 14,106
1849,Koenig AfO Bei 16,31
1849,Ranke BE A 61,108
1849,Schroeder VS 12,120
1849,Clay BE A 10,95
1849,Schroder VS 15,108
1849,Fossey pp,552-557
1850,UET 2,89
1850,ARM XV,163
1850,Clay BE A 14,106
1850,Koenig AfO Bei 16,31
1850,Ranke BE A 61,108
1850,Schroeder VS 12,120
1850,Clay BE A 10,95
1850,Schroder VS 15,108
1850,Fossey pp,552-557
1851,UET 2,89
1851,ARM XV,163
1851,Clay BE A 14,106
1851,Koenig AfO Bei 16,31
1851,Ranke BE A 61,108
1851,Schroeder VS 12,120
1851,Clay BE A 10,95
1851,Schroder VS 15,108
1851,Fossey pp,552-557
1853,UET 2,365
1853,ARM XV,174
1853,Clay BE A 14,116
1853,Koenig AfO Bei 16,32
1853,Ranke BE A 61,94
1853,Schroeder VS 12,128
1853,Clay BE A 10,98
1853,Schroder VS 15,118
1853,Fossey pp,605-613
1854,UET 2,365
1854,ARM XV,174
1854,Clay BE A 14,116
1854,Koenig AfO Bei 16,32
1854,Ranke BE A 61,94
1854,Schroeder VS 12,128
1854,Clay BE A 10,98
1854,Schroder VS 15,118
1854,Fossey pp,605-613
1855,UET 2,365
