cdp_id,sign_list,number
1231,Clay BE A 14,229
1231,Koenig AfO Bei 16,63
1231,Ranke BE A 61,198
1231,Schroeder VS 12,160
1231,Fossey pp,"789-793, 1086"
1232,UET 2,189
1232,ARM XV,233
1232,Clay BE A 14,229
1232,Koenig AfO Bei 16,2
1232,Ranke BE A 61,198
1232,Schroeder VS 12,160
1232,Fossey pp,"789-793, 1086"
1233,UET 2,189
1233,ARM XV,233
1233,Clay BE A 14,229
1233,Koenig AfO Bei 16,33
1233,Ranke BE A 61,198
1233,Schroeder VS 12,160
1233,Fossey pp,"789-793, 1086"
1234,UET 2,189
1234,ARM XV,233
1234,Clay BE A 14,229
1234,Koenig AfO Bei 16,52
1234,Ranke BE A 61,198
1234,Schroeder VS 12,160
1234,Fossey pp,"789-793, 1086"
1235,UET 2,189
1235,ARM XV,233
1235,Clay BE A 14,229
1235,Koenig AfO Bei 16,63
1235,Ranke BE A 61,198
1235,Schroeder VS 12,160
1235,Fossey pp,"789-793, 1086"
1236,UET 2,189
1236,ARM XV,233
1236,Clay BE A 14,229
1236,Koenig AfO Bei 16,198
1236,Ranke BE A 61,198
1236,Schroeder VS 12,160
1236,Fossey pp,"789-793, 1086"
1237,UET 2,189
1237,ARM XV,233
1237,Clay BE A 14,229
1237,Koenig AfO Bei 16,198
1237,Ranke BE A 61,198
1237,Schroeder VS 12,160
1237,Fossey pp,"789-793, 1086"
1239,UET 2,62
1239,ARM XV,70
1239,Clay BE A 14,10
1239,Koenig AfO Bei 16,3
1239,Ranke BE A 61,6
1239,Schroeder VS 12,49
1239,Clay BE A 10,8
1239,Schroder VS 15,46
1239,Fossey pp,223-230
1240,UET 2,62
1240,ARM XV,70
1240,Clay BE A 14,10
1240,Koenig AfO Bei 16,3
1240,Ranke BE A 61,6
1240,Schroeder VS 12,49
1240,Clay BE A 10,8
1240,Schroder VS 15,46
1240,Fossey pp,223-230
1242,Fossey pp,531
1243,Fossey pp,950
1246,Fossey pp,214ff
1254,UET 2,310
1254,ARM XV,160
1254,Clay BE A 14,139
1254,Koenig AfO Bei 16,4
1254,Ranke BE A 61,103
1254,Schroeder VS 12,117
1254,Clay BE A 10,118
1254,Fossey pp,"540-546, 673"
1256,UET 2,61
1256,Schroeder VS 12,54
1256,Fossey pp,253-255
1259,Schroder VS 15,117
1259,Fossey pp,605
1260,Fossey pp,583
1263,UET 2,573
1263,Ranke BE A 61,138
1263,Fossey pp,727-730
1264,UET 2,573
1264,Fossey pp,727-730
1265,UET 2,573
1265,Fossey pp,727-730
1266,UET 2,573
1266,Fossey pp,727-730
1267,UET 2,573
1267,Fossey pp,727-730
1268,UET 2,573
1268,Fossey pp,727-730
1269,UET 2,573
1269,Fossey pp,727-730
1270,Clay BE A 14,227
1270,Schroeder VS 12,159
1270,Schroder VS 15,152
1270,Fossey pp,"786, 787, 788, 785, 789"
1271,Fossey pp,774
1272,UET 2,163
1272,Fossey pp,"831, 835"
1273,UET 2,165
1273,Fossey pp,"831, 835"
1274,UET 2,166
1274,Fossey pp,"831, 835"
1275,UET 2,163
1275,Fossey pp,"831, 835"
1276,Fossey pp,526
1277,Fossey pp,526
1278,Fossey pp,526
1280,ARM XV,120
1280,Clay BE A 14,132
1280,Koenig AfO Bei 16,5
1280,Ranke BE A 61,67
1280,Schroeder VS 12,85
1280,Clay BE A 10,113
1280,Schroder VS 15,77
1280,Fossey pp,409-411
1281,ARM XV,120
1281,Clay BE A 14,132
1281,Koenig AfO Bei 16,5
1281,Ranke BE A 61,67
1281,Schroeder VS 12,85
1281,Clay BE A 10,113
1281,Schroder VS 15,77
1281,Fossey pp,409-411
1283,ARM XV,312
1284,Fossey pp,521
1285,UET 2,319
1285,ARM XV,149'
1285,Clay BE A 14,107
1285,Ranke BE A 61,95
1285,Schroeder VS 12,109
1285,Schroder VS 15,96
1285,Fossey pp,518ff
1286,UET 2,319
1286,ARM XV,149'
1286,Clay BE A 14,107
1286,Ranke BE A 61,95
1286,Schroeder VS 12,109
1286,Schroder VS 15,96
1286,Fossey pp,518ff
1287,UET 2,263?
1287,ARM XV,149'
1287,Clay BE A 14,107
1287,Ranke BE A 61,95
1287,Schroeder VS 12,109
1287,Schroder VS 15,96
1287,Fossey pp,518ff
1291,UET 2,146
1291,ARM XV,255
1291,Clay BE A 14,88
1291,Ranke BE A 61,151
1291,Schroeder VS 12,173
1291,Clay BE A 10,157
1291,Schroder VS 15,160
1291,Fossey pp,851-854
1295,Fossey pp,"531, 510"
1300,UET 2,6
1300,ARM XV,12
1300,Clay BE A 14,7
1300,Koenig AfO Bei 16,6
1300,Ranke BE A 61,5
1300,Schroeder VS 12,10
1300,Clay BE A 10,6
1300,Schroder VS 15,10
1300,Fossey pp,29ff
1301,UET 2,6
1301,ARM XV,12
1301,Clay BE A 14,7
1301,Koenig AfO Bei 16,20
1301,Ranke BE A 61,5
1301,Schroeder VS 12,10
1301,Clay BE A 10,6
1301,Schroder VS 15,10
1301,Fossey pp,29ff
1302,UET 2,6
1302,ARM XV,12
1302,Clay BE A 14,7
1302,Koenig AfO Bei 16,25
1302,Ranke BE A 61,5
1302,Schroeder VS 12,10
1302,Clay BE A 10,6
1302,Schroder VS 15,10
1302,Fossey pp,29ff
1303,UET 2,6
1303,ARM XV,12
1303,Clay BE A 14,7
1303,Koenig AfO Bei 16,113
1303,Ranke BE A 61,5
1303,Schroeder VS 12,10
1303,Clay BE A 10,6
1303,Schroder VS 15,10
1303,Fossey pp,29ff
1304,UET 2,6
1304,ARM XV,12
1304,Clay BE A 14,7
1304,Koenig AfO Bei 16,6
1304,Ranke BE A 61,5
1304,Schroeder VS 12,10
1304,Clay BE A 10,6
1304,Schroder VS 15,10
1304,Fossey pp,29ff
1305,UET 2,6
1305,ARM XV,12
